"","t","doEcdf","rfeVars","resample","model","vars","acc","kappa"
"275",2,FALSE,FALSE,8,"B2",49,0.243243243243243,-0.0216962524654832
"276",3,FALSE,FALSE,8,"B2",49,0.269230769230769,0.0159362549800796
"277",1,TRUE,TRUE,9,"B2",11,0.260869565217391,-0.0142671854734111
"278",2,TRUE,TRUE,9,"B2",21,0.162162162162162,-0.130049261083744
"279",3,TRUE,TRUE,9,"B2",18,0.115384615384615,-0.054673721340388
"280",1,FALSE,TRUE,9,"B2",11,0.195652173913043,-0.0340218712029162
"281",2,FALSE,TRUE,9,"B2",21,0.216216216216216,-0.064484126984127
"282",3,FALSE,TRUE,9,"B2",18,0.192307692307692,-0.144654088050314
"283",1,TRUE,FALSE,9,"B2",49,0.391304347826087,0.167958656330749
"284",2,TRUE,FALSE,9,"B2",49,0.459459459459459,0.265873015873016
"285",3,TRUE,FALSE,9,"B2",49,0.192307692307692,-0.0380228136882129
"286",1,FALSE,FALSE,9,"B2",49,0.195652173913043,-0.114603798297315
"287",2,FALSE,FALSE,9,"B2",49,0.189189189189189,-0.0797665369649805
"288",3,FALSE,FALSE,9,"B2",49,0.269230769230769,0.0139720558882235
"289",1,TRUE,TRUE,10,"B2",11,0.173913043478261,-0.0770178681454098
"290",2,TRUE,TRUE,10,"B2",21,0.243243243243243,-0.00484966052376335
"291",3,TRUE,TRUE,10,"B2",18,0.115384615384615,-0.161165048543689
"292",1,FALSE,TRUE,10,"B2",11,0.282608695652174,0.00589390962671904
"293",2,FALSE,TRUE,10,"B2",21,0.405405405405405,0.18436873747495
"294",3,FALSE,TRUE,10,"B2",18,0.230769230769231,0.0114068441064639
"295",1,TRUE,FALSE,10,"B2",49,0.217391304347826,-0.087327642810243
"296",2,TRUE,FALSE,10,"B2",49,0.162162162162162,-0.0659851301115242
"297",3,TRUE,FALSE,10,"B2",49,0.192307692307692,-0.0380228136882129
"298",1,FALSE,FALSE,10,"B2",49,0.347826086956522,0.105058365758755
