"","resampleSeed","dens.fct","oversample","useKeywords","useDatatype","batchSize","neurons","learningRate","err.fct","act.fct","epochs","precision","patience","maxVars","ID"
"100",588824402,"1-ecdf",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,100
"101",817867447,"1-ecdf",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,101
"102",1229953753,"1-ecdf",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,102
"103",588824402,"epdf",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,103
"104",817867447,"epdf",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,104
"105",1229953753,"epdf",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,105
"106",588824402,"epdf_scaled",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,106
"107",817867447,"epdf_scaled",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,107
"108",1229953753,"epdf_scaled",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,108
"109",588824402,"ecdf",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,109
"110",817867447,"ecdf",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,110
"111",1229953753,"ecdf",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,111
"112",588824402,"1-ecdf",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,112
"113",817867447,"1-ecdf",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,113
"114",1229953753,"1-ecdf",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,114
"115",588824402,"epdf",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,115
"116",817867447,"epdf",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,116
"117",1229953753,"epdf",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,117
"118",588824402,"epdf_scaled",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,118
"119",817867447,"epdf_scaled",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,119
"120",1229953753,"epdf_scaled",FALSE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,120
"121",588824402,"ecdf",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,121
"122",817867447,"ecdf",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,122
"123",1229953753,"ecdf",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,123
"124",588824402,"1-ecdf",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,124
"125",817867447,"1-ecdf",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,125
"126",1229953753,"1-ecdf",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,126
"127",588824402,"epdf",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,127
"128",817867447,"epdf",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,128
"129",1229953753,"epdf",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,129
"130",588824402,"epdf_scaled",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,130
"131",817867447,"epdf_scaled",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,131
"132",1229953753,"epdf_scaled",TRUE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,132
"133",588824402,"ecdf",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,133
"134",817867447,"ecdf",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,134
"135",1229953753,"ecdf",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,135
"136",588824402,"1-ecdf",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,136
"137",817867447,"1-ecdf",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,137
"138",1229953753,"1-ecdf",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,138
"139",588824402,"epdf",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,139
"140",817867447,"epdf",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,140
"141",1229953753,"epdf",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,141
"142",588824402,"epdf_scaled",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,142
